planet_name,qrid,@qrcodeimage
The Planet of Cognitive Contemplation,a86ec6aedd824edcbd799214dcc9ef6f,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:a86ec6aedd824edcbd799214dcc9ef6f.png
The Planet of Circular Balance,651a5782b06943e2ba03806d1c77eb95,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:651a5782b06943e2ba03806d1c77eb95.png
The Planet of Harmonious Varieties,bd145fdc9aba4b8c942f9a5c7356406e,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:bd145fdc9aba4b8c942f9a5c7356406e.png
The Planet of Controlled Communication,b068a40152fc44f0a114ca7f6667e087,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:b068a40152fc44f0a114ca7f6667e087.png
The Planet of Adaptive Functions,86e55f696cce40baae0a3b047337ef3d,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:86e55f696cce40baae0a3b047337ef3d.png
The Planet of Anarchic Biologies,e3935474d73f4b108a29c85ac7d3bab1,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:e3935474d73f4b108a29c85ac7d3bab1.png
The Planet of Organized Varieties,8406ff109c8e45618fa696223059244f,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:8406ff109c8e45618fa696223059244f.png
The Planet of Looping Complexity,279a7403fac74f77bfd47f8058af677e,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:279a7403fac74f77bfd47f8058af677e.png
The Planet of Social Networks,0b30453b37d942cbacdc2705079159e2,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:0b30453b37d942cbacdc2705079159e2.png
The Planet of Balanced Utopia,aa50e443ca5b4a8994b8309531482ef3,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:aa50e443ca5b4a8994b8309531482ef3.png
The Planet of General Economies,6824abdeb6654f97879794be21868978,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:6824abdeb6654f97879794be21868978.png
The Planet of Anarchic Exchange,c0e8b9fa3cac4022a0aa1fc1cdfba14b,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:c0e8b9fa3cac4022a0aa1fc1cdfba14b.png
The Planet of Meta Computation,07065572c57442f08d15b1e3ce9e55de,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:07065572c57442f08d15b1e3ce9e55de.png
The Planet of Cognitive Societies,e87f05c5cd1d41948161ff526eee01e1,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:e87f05c5cd1d41948161ff526eee01e1.png
The Planet of Cybernetic Loops,9535bf13297c47d8824a5bd21a1891c6,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:9535bf13297c47d8824a5bd21a1891c6.png
The Planet of Autonomous Systems,bb6f34b177264a11a7283cf349c241bd,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:bb6f34b177264a11a7283cf349c241bd.png
The Planet of Autonomous Play,fe3a9ad645934a64a236aaff1575f23c,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:fe3a9ad645934a64a236aaff1575f23c.png
The Planet of Computational Exchange,eece84055b4a43ef95b05c98cfd6ccb8,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:eece84055b4a43ef95b05c98cfd6ccb8.png
The Planet of Variable Systems,332747d6257b4451b1dd8b92b6a3e87a,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:332747d6257b4451b1dd8b92b6a3e87a.png
The Planet of Complex Play,ca8f7682e9da43e5bb6d801a920f342c,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:ca8f7682e9da43e5bb6d801a920f342c.png
The Planet of Systemic Chaos,1340c9955f6e4b248a3507ecfb0c92cc,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:1340c9955f6e4b248a3507ecfb0c92cc.png
The Planet of Flourishing Communication,7353abfe0ba34f6da8dde45e64c0d1ba,Macintosh HD:Users:provolot:Dropbox:_Projects:2017 Projects:Cybernetics_Library_Slips:CyberneticNameBadges:data:output:7353abfe0ba34f6da8dde45e64c0d1ba.png
